datetime,node_id,tag_id,tag_rssi,tag_volt
2026/01/30 09:27:06.063,205,0081f986054d,-78,2.79
2026/01/30 09:27:12.799,730,0081f986054d,-80,2.74
2026/01/30 09:27:14.379,729,0081f986054d,-84,2.74
2026/01/30 09:27:31.927,203,0081f986054d,-78,2.74
2026/01/30 09:27:34.921,699,0081f986054d,-83,2.74
2026/01/30 09:27:44.594,695,0081f986054d,-66,2.74
2026/01/30 09:28:04.568,698,0081f986054d,-82,2.74
2026/01/30 09:28:05.909,728,0081f986054d,-88,2.79
2026/01/30 09:28:12.908,696,0081f986054d,-74,2.74
2026/01/30 09:28:17.846,697,0081f986054d,-74,2.74
2026/01/30 09:28:21.025,691,0081f986054d,-83,2.74
2026/01/30 09:28:23.814,202,0081f986054d,-81,2.74
2026/01/30 09:28:27.099,205,0081f986054d,-84,2.74
2026/01/30 09:28:35.407,730,0081f986054d,-83,2.74
2026/01/30 09:28:37.301,729,0081f986054d,-81,2.74
2026/01/30 09:28:40.897,692,0081f986054d,-84,2.15
2026/01/30 09:28:53.264,203,0081f986054d,-68,2.79
2026/01/30 09:28:56.080,699,0081f986054d,-71,2.79
2026/01/30 09:29:07.266,695,0081f986054d,-58,2.56
2026/01/30 09:29:23.665,204,0081f986054d,-83,2.74
2026/01/30 09:29:26.725,698,0081f986054d,-86,2.74
2026/01/30 09:29:28.061,728,0081f986054d,-86,2.74
2026/01/30 09:29:33.812,696,0081f986054d,-90,2.74
2026/01/30 09:29:39.183,697,0081f986054d,-75,2.74
2026/01/30 09:29:41.822,691,0081f986054d,-82,2.74
2026/01/30 09:29:42.757,700,0081f986054d,-82,2.74
2026/01/30 09:29:45.085,202,0081f986054d,-80,2.74
2026/01/30 09:29:47.845,205,0081f986054d,-82,2.74
2026/01/30 09:29:58.264,730,0081f986054d,-84,2.7
2026/01/30 09:30:00.344,729,0081f986054d,-81,2.7
2026/01/30 09:30:14.560,203,0081f986054d,-83,2.7
2026/01/30 09:30:17.560,699,0081f986054d,-78,2.7
2026/01/30 09:30:29.679,695,0081f986054d,-62,2.79
2026/01/30 09:30:44.388,204,0081f986054d,-85,2.74
2026/01/30 09:30:48.889,698,0081f986054d,-84,2.74
2026/01/30 09:30:54.634,696,0081f986054d,-88,2.74
2026/01/30 09:31:00.575,697,0081f986054d,-76,2.74
2026/01/30 09:31:04.204,691,0081f986054d,-75,2.7
2026/01/30 09:31:07.351,202,0081f986054d,-73,2.7
2026/01/30 09:31:10.593,205,0081f986054d,-82,2.7
2026/01/30 09:31:20.921,730,0081f986054d,-83,2.79
2026/01/30 09:31:23.100,729,0081f986054d,-90,2.79
2026/01/30 09:31:35.922,203,0081f986054d,-74,2.51
2026/01/30 09:31:39.003,699,0081f986054d,-73,2.51
2026/01/30 09:31:51.903,695,0081f986054d,-59,2.83
2026/01/30 09:32:05.147,204,0081f986054d,-85,2.6
2026/01/30 09:32:11.263,698,0081f986054d,-88,2.6
2026/01/30 09:32:12.520,728,0081f986054d,-91,2.79
2026/01/30 09:32:15.400,696,0081f986054d,-88,2.79
2026/01/30 09:32:21.896,697,0081f986054d,-87,2.7
2026/01/30 09:32:24.665,691,0081f986054d,-73,2.7
2026/01/30 09:32:25.964,700,0081f986054d,-88,2.7
2026/01/30 09:32:28.470,202,0081f986054d,-78,2.7
2026/01/30 09:32:31.184,205,0081f986054d,-80,2.47
2026/01/30 09:32:38.121,692,0081f986054d,-89,2.79
2026/01/30 09:32:43.807,730,0081f986054d,-76,2.79
2026/01/30 09:32:45.831,729,0081f986054d,-77,2.79
2026/01/30 09:32:57.230,203,0081f986054d,-74,2.83
2026/01/30 09:33:00.447,699,0081f986054d,-76,2.83
2026/01/30 09:33:14.384,695,0081f986054d,-66,2.74
2026/01/30 09:33:26.128,204,0081f986054d,-83,2.74
2026/01/30 09:33:33.602,698,0081f986054d,-86,2.79
2026/01/30 09:33:34.583,728,0081f986054d,-87,2.79
2026/01/30 09:33:43.073,697,0081f986054d,-72,2.79
2026/01/30 09:33:45.489,691,0081f986054d,-68,2.51
2026/01/30 09:33:47.843,700,0081f986054d,-75,2.51
2026/01/30 09:33:49.489,202,0081f986054d,-66,2.51
2026/01/30 09:33:57.201,692,0081f986054d,-80,2.79
2026/01/30 09:34:06.258,730,0081f986054d,-67,2.79
2026/01/30 09:34:08.610,729,0081f986054d,-67,2.51
2026/01/30 09:34:18.599,203,0081f986054d,-73,2.51
2026/01/30 09:34:21.573,699,0081f986054d,-82,2.74
2026/01/30 09:34:36.992,695,0081f986054d,-58,2.74
2026/01/30 09:34:46.569,204,0081f986054d,-87,2.74
2026/01/30 09:34:56.067,698,0081f986054d,-82,2.74
2026/01/30 09:34:56.840,696,0081f986054d,-74,2.74
2026/01/30 09:34:56.947,728,0081f986054d,-91,2.74
2026/01/30 09:35:04.584,697,0081f986054d,-79,2.74
2026/01/30 09:35:07.445,691,0081f986054d,-77,2.74
2026/01/30 09:35:10.638,202,0081f986054d,-77,2.74
2026/01/30 09:35:13.799,205,0081f986054d,-75,2.74
2026/01/30 09:35:28.919,730,0081f986054d,-78,2.74
2026/01/30 09:35:31.600,729,0081f986054d,-79,2.74
2026/01/30 09:35:39.583,203,0081f986054d,-81,2.74
2026/01/30 09:35:42.478,699,0081f986054d,-79,2.74
2026/01/30 09:36:04.818,695,0081f986054d,-57,2.74
2026/01/30 09:36:17.754,696,0081f986054d,-72,2.74
2026/01/30 09:36:18.039,698,0081f986054d,-76,2.74
2026/01/30 09:36:19.229,728,0081f986054d,-89,2.74
2026/01/30 09:36:25.769,697,0081f986054d,-73,2.74
2026/01/30 09:36:28.523,691,0081f986054d,-82,2.74
2026/01/30 09:36:31.628,202,0081f986054d,-78,2.74
2026/01/30 09:36:34.602,205,0081f986054d,-80,2.74
2026/01/30 09:36:35.502,692,0081f986054d,-85,2.74
2026/01/30 09:36:51.641,730,0081f986054d,-78,2.74
2026/01/30 09:36:54.733,729,0081f986054d,-84,2.74
2026/01/30 09:37:00.856,203,0081f986054d,-87,2.74
2026/01/30 09:37:04.715,699,0081f986054d,-77,2.74
2026/01/30 09:37:21.777,695,0081f986054d,-65,2.74
2026/01/30 09:37:28.186,204,0081f986054d,-87,2.74
2026/01/30 09:37:38.353,696,0081f986054d,-73,2.74
2026/01/30 09:37:40.344,698,0081f986054d,-75,2.74
2026/01/30 09:37:41.503,728,0081f986054d,-90,2.74
2026/01/30 09:37:46.838,697,0081f986054d,-70,2.74
2026/01/30 09:37:49.556,691,0081f986054d,-75,2.79
2026/01/30 09:37:52.195,202,0081f986054d,-75,2.79
2026/01/30 09:37:54.830,692,0081f986054d,-88,2.79
2026/01/30 09:37:55.090,205,0081f986054d,-84,2.79
2026/01/30 09:38:14.550,730,0081f986054d,-75,2.74
2026/01/30 09:38:17.390,729,0081f986054d,-77,2.74
2026/01/30 09:38:22.395,203,0081f986054d,-71,2.6
2026/01/30 09:38:25.743,699,0081f986054d,-75,2.6
2026/01/30 09:38:44.189,695,0081f986054d,-85,1.97
2026/01/30 09:38:48.501,204,0081f986054d,-80,2.74
2026/01/30 09:38:49.377,693,0081f986054d,-64,2.74
2026/01/30 09:39:03.632,728,0081f986054d,-90,2.28
2026/01/30 09:39:13.941,692,0081f986054d,-83,2.79
2026/01/30 09:39:17.618,201,0081f986054d,-81,2.79
2026/01/30 09:40:09.009,693,0081f986054d,-82,2.56
2026/01/30 09:41:29.433,693,0081f986054d,-86,2.74
2026/01/30 09:41:59.663,201,0081f986054d,-88,2.7
2026/01/30 09:42:49.801,693,0081f986054d,-81,2.56
2026/01/30 09:43:10.464,692,0081f986054d,-91,2.74
2026/01/30 09:43:52.265,203,0081f986054d,-91,2.79
2026/01/30 09:44:09.946,693,0081f986054d,-70,2.42
2026/01/30 09:44:10.458,204,0081f986054d,-83,2.42
2026/01/30 09:44:34.850,691,0081f986054d,-74,2.42
2026/01/30 09:44:37.996,202,0081f986054d,-90,2.42
2026/01/30 09:44:40.418,201,0081f986054d,-64,2.79
2026/01/30 09:44:41.026,694,0081f986054d,-76,2.79
2026/01/30 09:45:07.667,730,0081f986054d,-69,2.47
2026/01/30 09:45:11.168,729,0081f986054d,-67,2.47
2026/01/30 09:45:14.030,203,0081f986054d,-65,2.47
2026/01/30 09:45:16.666,699,0081f986054d,-67,2.42
2026/01/30 09:45:30.245,693,0081f986054d,-89,2.79
2026/01/30 09:45:31.083,204,0081f986054d,-77,2.79
2026/01/30 09:45:35.805,695,0081f986054d,-56,2.51
2026/01/30 09:45:41.965,696,0081f986054d,-69,2.51
2026/01/30 09:45:53.169,697,0081f986054d,-75,2.79
2026/01/30 09:45:53.358,698,0081f986054d,-78,2.79
2026/01/30 09:45:55.721,691,0081f986054d,-75,2.79
2026/01/30 09:45:58.988,202,0081f986054d,-70,2.79
2026/01/30 09:46:02.433,205,0081f986054d,-86,2.79
2026/01/30 09:46:30.837,730,0081f986054d,-77,2.7
2026/01/30 09:46:33.888,729,0081f986054d,-77,2.7
2026/01/30 09:46:37.440,203,0081f986054d,-77,2.7
2026/01/30 09:46:51.810,204,0081f986054d,-88,2.74
2026/01/30 09:46:57.969,695,0081f986054d,-73,2.19
2026/01/30 09:47:02.681,696,0081f986054d,-66,2.19
2026/01/30 09:47:13.054,692,0081f986054d,-85,2.74
2026/01/30 09:47:13.785,697,0081f986054d,-67,2.74
2026/01/30 09:47:14.222,728,0081f986054d,-81,2.74
2026/01/30 09:47:16.497,691,0081f986054d,-75,2.74
2026/01/30 09:47:17.591,698,0081f986054d,-70,2.74
2026/01/30 09:47:20.264,202,0081f986054d,-69,2.47
2026/01/30 09:47:22.923,700,0081f986054d,-80,2.47
2026/01/30 09:47:23.339,205,0081f986054d,-75,2.74
2026/01/30 09:47:52.833,730,0081f986054d,-67,2.47
2026/01/30 09:47:56.260,729,0081f986054d,-72,2.47
2026/01/30 09:47:59.612,203,0081f986054d,-68,2.47
2026/01/30 09:48:11.069,693,0081f986054d,-92,2.79
2026/01/30 09:48:12.496,204,0081f986054d,-75,2.56
2026/01/30 09:48:20.345,695,0081f986054d,-53,2.56
2026/01/30 09:48:23.256,696,0081f986054d,-83,2.74
2026/01/30 09:48:34.419,728,0081f986054d,-89,2.79
2026/01/30 09:48:34.508,697,0081f986054d,-81,2.79
2026/01/30 09:48:37.161,691,0081f986054d,-79,2.79
2026/01/30 09:48:39.820,698,0081f986054d,-82,2.79
2026/01/30 09:48:41.322,202,0081f986054d,-83,2.79
2026/01/30 09:48:44.577,205,0081f986054d,-80,2.79
2026/01/30 09:49:15.418,730,0081f986054d,-74,2.79
2026/01/30 09:49:18.905,729,0081f986054d,-75,2.79
2026/01/30 09:49:21.769,203,0081f986054d,-75,2.79
2026/01/30 09:49:42.847,695,0081f986054d,-60,2.74
2026/01/30 09:49:44.204,696,0081f986054d,-76,2.74
2026/01/30 09:49:54.671,728,0081f986054d,-91,2.74
2026/01/30 09:49:55.648,697,0081f986054d,-75,2.74
2026/01/30 09:49:58.614,691,0081f986054d,-81,2.74
2026/01/30 09:50:02.195,698,0081f986054d,-81,2.74
2026/01/30 09:50:02.315,202,0081f986054d,-72,2.74
2026/01/30 09:50:05.249,205,0081f986054d,-82,2.74
2026/01/30 09:50:38.199,730,0081f986054d,-77,2.79
